Âge,Attrition,VoyageD'Affaires,TarifQuotidien,Service,DistanceMaison,Éducation,DomaineÉducation,NombreEmployés,NuméroD'Employé,SatisfactionEnvironnement,Genre,TarifHoraire,EngagementTravail,ÉchellePoste,ResponsabilitéPoste,SatisfactionTravail,ÉtatCivil,SalaireMensuel,TarifMensuel,NombreEntreprisesDéjàTravaillé,PlusDe18,TempsSupplémentaire,AugmentationSalairePourcentage,CotePerformance,SatisfactionRelation,HeuresTravailléesStandard,NiveauOptionStocks,AnnéesTravailléesTotal,NombreFormationsAnDernier,ÉquilibreTravailFamille,AnnéesEmployé,AnnéesPosteActuel,AnnéesDepuisDernièrePromotion,AnnéesAvecGestionnaireActuel
41,Oui,Voyage_Rarement,1102,Ventes,1,2,Sciences biologiques,1,1,2,Femme,94,3,2,Directeur/directrice commercial,4,Célibataire,5993,19479,8,O,Oui,11,3,1,80,0,8,0,1,6,4,0,5
49,Non,Voyage_Souvent,279,Recherche et développement,8,1,Sciences biologiques,1,2,3,Homme,61,2,2,Scientifique chercheur(e),2,Marié(e),5130,24907,1,O,Non,23,4,4,80,1,10,3,3,10,7,1,7
37,Oui,Voyage_Rarement,1373,Recherche et développement,2,2,Autre,1,4,4,Homme,92,2,1,Technicien(ne) en laboratoire,3,Célibataire,2090,2396,6,O,Oui,15,3,2,80,0,7,3,3,0,0,0,0
33,Non,Voyage_Souvent,1392,Recherche et développement,3,4,Sciences biologiques,1,5,4,Femme,56,3,1,Scientifique chercheur(e),3,Marié(e),2909,23159,1,O,Oui,11,3,3,80,0,8,3,3,8,7,3,0
27,Non,Voyage_Rarement,591,Recherche et développement,2,1,Médical,1,7,1,Homme,40,3,1,Technicien(ne) en laboratoire,2,Marié(e),3468,16632,9,O,Non,12,3,4,80,1,6,3,3,2,2,2,2
32,Non,Voyage_Souvent,1005,Recherche et développement,2,2,Sciences biologiques,1,8,4,Homme,79,3,1,Technicien(ne) en laboratoire,4,Célibataire,3068,11864,0,O,Non,13,3,3,80,0,8,2,2,7,7,3,6
59,Non,Voyage_Rarement,1324,Recherche et développement,3,3,Médical,1,10,3,Femme,81,4,1,Technicien(ne) en laboratoire,1,Marié(e),2670,9964,4,O,Oui,20,4,1,80,3,12,3,2,1,0,0,0
30,Non,Voyage_Rarement,1358,Recherche et développement,24,1,Sciences biologiques,1,11,4,Homme,67,3,1,Technicien(ne) en laboratoire,3,Divorcé(e),2693,13335,1,O,Non,22,4,2,80,1,1,2,3,1,0,0,0
38,Non,Voyage_Souvent,216,Recherche et développement,23,3,Sciences biologiques,1,12,4,Homme,44,2,3,Chef de la production,3,Célibataire,9526,8787,0,O,Non,21,4,2,80,0,10,2,3,9,7,1,8
36,Non,Voyage_Rarement,1299,Recherche et développement,27,3,Médical,1,13,3,Homme,94,3,2,Représentant(e) en santé,3,Marié(e),5237,16577,6,O,Non,13,3,2,80,2,17,3,2,7,7,7,7
35,Non,Voyage_Rarement,809,Recherche et développement,16,3,Médical,1,14,1,Homme,84,4,1,Technicien(ne) en laboratoire,2,Marié(e),2426,16479,0,O,Non,13,3,3,80,1,6,5,3,5,4,0,3
29,Non,Voyage_Rarement,153,Recherche et développement,15,2,Sciences biologiques,1,15,4,Femme,49,2,2,Technicien(ne) en laboratoire,3,Célibataire,4193,12682,0,O,Oui,12,3,4,80,0,10,3,3,9,5,0,8
31,Non,Voyage_Rarement,670,Recherche et développement,26,1,Sciences biologiques,1,16,1,Homme,31,3,1,Scientifique chercheur(e),3,Divorcé(e),2911,15170,1,O,Non,17,3,4,80,1,5,1,2,5,2,4,3
34,Non,Voyage_Rarement,1346,Recherche et développement,19,2,Médical,1,18,2,Homme,93,3,1,Technicien(ne) en laboratoire,4,Divorcé(e),2661,8758,0,O,Non,11,3,3,80,1,3,2,3,2,2,1,2
28,Oui,Voyage_Rarement,103,Recherche et développement,24,3,Sciences biologiques,1,19,3,Homme,50,2,1,Technicien(ne) en laboratoire,3,Célibataire,2028,12947,5,O,Oui,14,3,2,80,0,6,4,3,4,2,0,3
29,Non,Voyage_Rarement,1389,Recherche et développement,21,4,Sciences biologiques,1,20,2,Femme,51,4,3,Chef de la production,1,Divorcé(e),9980,10195,1,O,Non,11,3,3,80,1,10,1,3,10,9,8,8
32,Non,Voyage_Rarement,334,Recherche et développement,5,2,Sciences biologiques,1,21,1,Homme,80,4,1,Scientifique chercheur(e),2,Divorcé(e),3298,15053,0,O,Oui,12,3,4,80,2,7,5,2,6,2,0,5
22,Non,Ne_Voyage_Pas,1123,Recherche et développement,16,2,Médical,1,22,4,Homme,96,4,1,Technicien(ne) en laboratoire,4,Divorcé(e),2935,7324,1,O,Oui,13,3,2,80,2,1,2,2,1,0,0,0
53,Non,Voyage_Rarement,1219,Ventes,2,4,Sciences biologiques,1,23,1,Femme,78,2,4,Gestionnaire,4,Marié(e),15427,22021,2,O,Non,16,3,3,80,0,31,3,3,25,8,3,7
38,Non,Voyage_Rarement,371,Recherche et développement,2,3,Sciences biologiques,1,24,4,Homme,45,3,1,Scientifique chercheur(e),4,Célibataire,3944,4306,5,O,Oui,11,3,3,80,0,6,3,3,3,2,1,2
24,Non,Ne_Voyage_Pas,673,Recherche et développement,11,2,Autre,1,26,1,Femme,96,4,2,Chef de la production,3,Divorcé(e),4011,8232,0,O,Non,18,3,4,80,1,5,5,2,4,2,1,3
36,Oui,Voyage_Rarement,1218,Ventes,9,4,Sciences biologiques,1,27,3,Homme,82,2,1,Représentant(e) commercial,1,Célibataire,3407,6986,7,O,Non,23,4,2,80,0,10,4,3,5,3,0,3
34,Non,Voyage_Rarement,419,Recherche et développement,7,4,Sciences biologiques,1,28,1,Femme,53,3,3,Directeur/directrice de recherche,2,Célibataire,11994,21293,0,O,Non,11,3,3,80,0,13,4,3,12,6,2,11
21,Non,Voyage_Rarement,391,Recherche et développement,15,2,Sciences biologiques,1,30,3,Homme,96,3,1,Scientifique chercheur(e),4,Célibataire,1232,19281,1,O,Non,14,3,4,80,0,0,6,3,0,0,0,0
34,Oui,Voyage_Rarement,699,Recherche et développement,6,1,Médical,1,31,2,Homme,83,3,1,Scientifique chercheur(e),1,Célibataire,2960,17102,2,O,Non,11,3,3,80,0,8,2,3,4,2,1,3
53,Non,Voyage_Rarement,1282,Recherche et développement,5,3,Autre,1,32,3,Femme,58,3,5,Gestionnaire,3,Divorcé(e),19094,10735,4,O,Non,11,3,4,80,1,26,3,2,14,13,4,8
32,Oui,Voyage_Souvent,1125,Recherche et développement,16,1,Sciences biologiques,1,33,2,Femme,72,1,1,Scientifique chercheur(e),1,Célibataire,3919,4681,1,O,Oui,22,4,2,80,0,10,5,3,10,2,6,7
42,Non,Voyage_Rarement,691,Ventes,8,4,Marketing,1,35,3,Homme,48,3,2,Directeur/directrice commercial,2,Marié(e),6825,21173,0,O,Non,11,3,4,80,1,10,2,3,9,7,4,2
44,Non,Voyage_Rarement,477,Recherche et développement,7,4,Médical,1,36,1,Femme,42,2,3,Représentant(e) en santé,4,Marié(e),10248,2094,3,O,Non,14,3,4,80,1,24,4,3,22,6,5,17
46,Non,Voyage_Rarement,705,Ventes,2,4,Marketing,1,38,2,Femme,83,3,5,Gestionnaire,1,Célibataire,18947,22822,3,O,Non,12,3,4,80,0,22,2,2,2,2,2,1
33,Non,Voyage_Rarement,924,Recherche et développement,2,3,Médical,1,39,3,Homme,78,3,1,Technicien(ne) en laboratoire,4,Célibataire,2496,6670,4,O,Non,11,3,4,80,0,7,3,3,1,1,0,0
44,Non,Voyage_Rarement,1459,Recherche et développement,10,4,Autre,1,40,4,Homme,41,3,2,Représentant(e) en santé,4,Marié(e),6465,19121,2,O,Oui,13,3,4,80,0,9,5,4,4,2,1,3
30,Non,Voyage_Rarement,125,Recherche et développement,9,2,Médical,1,41,4,Homme,83,2,1,Technicien(ne) en laboratoire,3,Célibataire,2206,16117,1,O,Non,13,3,1,80,0,10,5,3,10,0,1,8
39,Oui,Voyage_Rarement,895,Ventes,5,3,Diplôme technique,1,42,4,Homme,56,3,2,Représentant(e) commercial,4,Marié(e),2086,3335,3,O,Non,14,3,3,80,1,19,6,4,1,0,0,0
24,Oui,Voyage_Rarement,813,Recherche et développement,1,3,Médical,1,45,2,Homme,61,3,1,Scientifique chercheur(e),4,Marié(e),2293,3020,2,O,Oui,16,3,1,80,1,6,2,2,2,0,2,0
43,Non,Voyage_Rarement,1273,Recherche et développement,2,2,Médical,1,46,4,Femme,72,4,1,Scientifique chercheur(e),3,Divorcé(e),2645,21923,1,O,Non,12,3,4,80,2,6,3,2,5,3,1,4
50,Oui,Voyage_Rarement,869,Ventes,3,2,Marketing,1,47,1,Homme,86,2,1,Représentant(e) commercial,3,Marié(e),2683,3810,1,O,Oui,14,3,3,80,0,3,2,3,3,2,0,2
35,Non,Voyage_Rarement,890,Ventes,2,3,Marketing,1,49,4,Femme,97,3,1,Représentant(e) commercial,4,Marié(e),2014,9687,1,O,Non,13,3,1,80,0,2,3,3,2,2,2,2
36,Non,Voyage_Rarement,852,Recherche et développement,5,4,Sciences biologiques,1,51,2,Femme,82,2,1,Scientifique chercheur(e),1,Marié(e),3419,13072,9,O,Oui,14,3,4,80,1,6,3,4,1,1,0,0
33,Non,Voyage_Souvent,1141,Ventes,1,3,Sciences biologiques,1,52,3,Femme,42,4,2,Directeur/directrice commercial,1,Marié(e),5376,3193,2,O,Non,19,3,1,80,2,10,3,3,5,3,1,3
35,Non,Voyage_Rarement,464,Recherche et développement,4,2,Autre,1,53,3,Homme,75,3,1,Technicien(ne) en laboratoire,4,Divorcé(e),1951,10910,1,O,Non,12,3,3,80,1,1,3,3,1,0,0,0
27,Non,Voyage_Rarement,1240,Recherche et développement,2,4,Sciences biologiques,1,54,4,Femme,33,3,1,Technicien(ne) en laboratoire,1,Divorcé(e),2341,19715,1,O,Non,13,3,4,80,1,1,6,3,1,0,0,0
26,Oui,Voyage_Rarement,1357,Recherche et développement,25,3,Sciences biologiques,1,55,1,Homme,48,1,1,Technicien(ne) en laboratoire,3,Célibataire,2293,10558,1,O,Non,12,3,3,80,0,1,2,2,1,0,0,1
27,Non,Voyage_Souvent,994,Ventes,8,3,Sciences biologiques,1,56,4,Homme,37,3,3,Directeur/directrice commercial,3,Célibataire,8726,2975,1,O,Non,15,3,4,80,0,9,0,3,9,8,1,7
30,Non,Voyage_Souvent,721,Recherche et développement,1,2,Médical,1,57,3,Femme,58,3,2,Technicien(ne) en laboratoire,4,Célibataire,4011,10781,1,O,Non,23,4,4,80,0,12,2,3,12,8,3,7
41,Oui,Voyage_Rarement,1360,Recherche et développement,12,3,Diplôme technique,1,58,2,Femme,49,3,5,Directeur/directrice de recherche,3,Marié(e),19545,16280,1,O,Non,12,3,4,80,0,23,0,3,22,15,15,8
34,Non,Ne_Voyage_Pas,1065,Ventes,23,4,Marketing,1,60,2,Homme,72,3,2,Directeur/directrice commercial,3,Célibataire,4568,10034,0,O,Non,20,4,3,80,0,10,2,3,9,5,8,7
37,Non,Voyage_Rarement,408,Recherche et développement,19,2,Sciences biologiques,1,61,2,Homme,73,3,1,Scientifique chercheur(e),2,Marié(e),3022,10227,4,O,Non,21,4,1,80,0,8,1,3,1,0,0,0
46,Non,Voyage_Souvent,1211,Ventes,5,4,Marketing,1,62,1,Homme,98,3,2,Directeur/directrice commercial,4,Célibataire,5772,20445,4,O,Oui,21,4,3,80,0,14,4,3,9,6,0,8
35,Non,Voyage_Rarement,1229,Recherche et développement,8,1,Sciences biologiques,1,63,4,Homme,36,4,1,Technicien(ne) en laboratoire,4,Marié(e),2269,4892,1,O,Non,19,3,4,80,0,1,2,3,1,0,0,1
48,Oui,Voyage_Rarement,626,Recherche et développement,1,2,Sciences biologiques,1,64,1,Homme,98,2,3,Technicien(ne) en laboratoire,3,Célibataire,5381,19294,9,O,Oui,13,3,4,80,0,23,2,3,1,0,0,0
28,Oui,Voyage_Rarement,1434,Recherche et développement,5,4,Diplôme technique,1,65,3,Homme,50,3,1,Technicien(ne) en laboratoire,3,Célibataire,3441,11179,1,O,Oui,13,3,3,80,0,2,3,2,2,2,2,2
44,Non,Voyage_Rarement,1488,Ventes,1,5,Marketing,1,68,2,Femme,75,3,2,Directeur/directrice commercial,1,Divorcé(e),5454,4009,5,O,Oui,21,4,3,80,1,9,2,2,4,3,1,3
35,Non,Ne_Voyage_Pas,1097,Recherche et développement,11,2,Médical,1,70,3,Homme,79,2,3,Représentant(e) en santé,1,Marié(e),9884,8302,2,O,Oui,13,3,3,80,1,10,3,3,4,0,2,3
26,Non,Voyage_Rarement,1443,Ventes,23,3,Marketing,1,72,3,Femme,47,2,2,Directeur/directrice commercial,4,Marié(e),4157,21436,7,O,Oui,19,3,3,80,1,5,2,2,2,2,0,0
33,Non,Voyage_Souvent,515,Recherche et développement,1,2,Sciences biologiques,1,73,1,Femme,98,3,3,Directeur/directrice de recherche,4,Célibataire,13458,15146,1,O,Oui,12,3,3,80,0,15,1,3,15,14,8,12
35,Non,Voyage_Souvent,853,Ventes,18,5,Sciences biologiques,1,74,2,Homme,71,3,3,Directeur/directrice commercial,1,Marié(e),9069,11031,1,O,Non,22,4,4,80,1,9,3,2,9,8,1,8
35,Non,Voyage_Rarement,1142,Recherche et développement,23,4,Médical,1,75,3,Femme,30,3,1,Technicien(ne) en laboratoire,1,Marié(e),4014,16002,3,O,Oui,15,3,3,80,1,4,3,3,2,2,2,2
31,Non,Voyage_Rarement,655,Recherche et développement,7,4,Sciences biologiques,1,76,4,Homme,48,3,2,Technicien(ne) en laboratoire,4,Divorcé(e),5915,9528,3,O,Non,22,4,4,80,1,10,3,2,7,7,1,7
37,Non,Voyage_Rarement,1115,Recherche et développement,1,4,Sciences biologiques,1,77,1,Homme,51,2,2,Chef de la production,3,Divorcé(e),5993,2689,1,O,Non,18,3,3,80,1,7,2,4,7,5,0,7
32,Non,Voyage_Rarement,427,Recherche et développement,1,3,Médical,1,78,1,Homme,33,3,2,Chef de la production,4,Marié(e),6162,10877,1,O,Oui,22,4,2,80,1,9,3,3,9,8,7,8
38,Non,Voyage_Souvent,653,Recherche et développement,29,5,Sciences biologiques,1,79,4,Femme,50,3,2,Technicien(ne) en laboratoire,4,Célibataire,2406,5456,1,O,Non,11,3,4,80,0,10,2,3,10,3,9,9
50,Non,Voyage_Rarement,989,Recherche et développement,7,2,Médical,1,80,2,Femme,43,2,5,Directeur/directrice de recherche,3,Divorcé(e),18740,16701,5,O,Oui,12,3,4,80,1,29,2,2,27,3,13,8
59,Non,Voyage_Rarement,1435,Ventes,25,3,Sciences biologiques,1,81,1,Femme,99,3,3,Directeur/directrice commercial,1,Célibataire,7637,2354,7,O,Non,11,3,4,80,0,28,3,2,21,16,7,9
36,Non,Voyage_Rarement,1223,Recherche et développement,8,3,Diplôme technique,1,83,3,Femme,59,3,3,Représentant(e) en santé,3,Divorcé(e),10096,8202,1,O,Non,13,3,2,80,3,17,2,3,17,14,12,8
55,Non,Voyage_Rarement,836,Recherche et développement,8,3,Médical,1,84,4,Femme,33,3,4,Gestionnaire,3,Divorcé(e),14756,19730,2,O,Oui,14,3,3,80,3,21,2,3,5,0,0,2
36,Non,Voyage_Souvent,1195,Recherche et développement,11,3,Sciences biologiques,1,85,2,Homme,95,2,2,Chef de la production,2,Célibataire,6499,22656,1,O,Non,13,3,3,80,0,6,3,3,6,5,0,3
45,Non,Voyage_Rarement,1339,Recherche et développement,7,3,Sciences biologiques,1,86,2,Homme,59,3,3,Scientifique chercheur(e),1,Divorcé(e),9724,18787,2,O,Non,17,3,3,80,1,25,2,3,1,0,0,0
35,Non,Voyage_Souvent,664,Recherche et développement,1,3,Médical,1,88,2,Homme,79,3,1,Scientifique chercheur(e),1,Marié(e),2194,5868,4,O,Non,13,3,4,80,1,5,2,2,3,2,1,2
36,Oui,Voyage_Rarement,318,Recherche et développement,9,3,Médical,1,90,4,Homme,79,2,1,Scientifique chercheur(e),3,Marié(e),3388,21777,0,O,Oui,17,3,1,80,1,2,0,2,1,0,0,0
